IS_VaVaI_code,IS_VaVaI_Name_CS,IS_VaVaI_Name_EN,ROR_id,ROR_Name,Override_Name_EN,FundRef_id,Notes
AV0,Akademie věd České republiky,Czech Academy of Sciences,https://ror.org/053avzc18,Czech Academy of Sciences,,,
BIS,Bezpečnostní informační služba,Security Information Service,https://ror.org/01tjgrk20,Security Information Service,,,
CBU,Český báňský úřad,Czech Mining Office Board,https://ror.org/04kgngk14,State Mining Administration,,,
CSU,Český statistický úřad,Czech Statistical Office,https://ror.org/03w948j83,Czech Statistical Office,,,
CUZ,Český úřad zeměměřický a katastrální,"Czech Office for Surveying, Mapping and Cadastre",https://ror.org/0111dmn28,"Czech Office for Surveying, Mapping and Cadastre",,,
GA0,Grantová agentura České republiky,Czech Science Foundation,https://ror.org/01pv73b02,Czech Science Foundation,,,
KHK,Královéhradecký kraj,The Hradec Králové Region,,,,,
KHP,Hlavní město Praha,Prague City,,,,,
KJC,Jihočeský kraj,The South Bohemian Region,,,,,
KJM,Jihomoravský kraj,The South Moravian Region,,,,,
KKV,Karlovarský kraj,The Carlsbad Region,,,,,
KLI,Liberecký kraj,The Liberec Region,,,,,
KMS,Moravskoslezský kraj,The Moravian-Silesian Region,,,,,
KOL,Olomoucký kraj,The Olomouc Region,,,,,
KPB,Pardubický kraj,The Pardubice Region,,,,,
KPZ,Plzeňský kraj,The Pilsen Region,,,,,
KSC,Středočeský kraj,Central Bohemia Region,,,,,
KUL,Ústecký kraj,The Usti Region,,,,,
KVY,Kraj Vysočina,The Vysocina Region,,,,,
KZL,Zlínský kraj,The Zlín Region,,,,,
MD0,Ministerstvo dopravy,Ministry of Transport,https://ror.org/00p9p2506,Ministry of Transport,,,
MF0,Ministerstvo financí,Ministry of Finance,https://ror.org/00mjd8b34,Ministry of Finance of the Czech Republic,,,
MK0,Ministerstvo kultury,Ministry of Culture,https://ror.org/00fxxw604,Ministry of Culture,,,
MMR,Ministerstvo pro místní rozvoj,Ministry of Regional Development,https://ror.org/045smbc57,Ministry of Regional Development,,,
MO0,Ministerstvo obrany,Ministry of Defence,https://ror.org/00r7raa16,Ministry of Defence,,,
MPO,Ministerstvo průmyslu a obchodu,Ministry of Industry and Trade,https://ror.org/03j4eb467,Ministry of Industry and Trade,,,
MPS,Ministerstvo práce a sociálních věcí,Ministry of Labour and Social Affairs,https://ror.org/01bvj3e58,Ministry of Labour and Social Affairs,,,
MS0,Ministerstvo spravedlnosti,Ministry of Justice,https://ror.org/0531qh590,Ministry of Justice,,,
MSM,"Ministerstvo školství, mládeže a tělovýchovy","Ministry of Education, Youth and Sports",https://ror.org/037n8p820,Ministry of Education Youth and Sports,,,
MV0,Ministerstvo vnitra,Ministry of Interior,https://ror.org/05w1nn565,Ministry of the Interior,,,
MZ0,Ministerstvo zdravotnictví,Ministry of Health,https://ror.org/00y6khe77,Ministry of Health,,,
MZE,Ministerstvo zemědělství,Ministry of Agriculture,https://ror.org/049wftm75,Ministry of Agriculture,,,
MZP,Ministerstvo životního prostředí,Ministry of Environment,https://ror.org/04e74dh47,Ministry of the Environment of the Czech Republic,,,
MZV,Ministerstvo zahraničních věcí,Ministry of Foreign Affairs,https://ror.org/00h3t4h60,Ministry of Foreign Affairs,,,
NBU,Národní bezpečnostní úřad,National Security Authority,https://ror.org/02yy6jb09,National Security Authority,,,
SUJ,Státní úřad pro jadernou bezpečnost,State Office for Nuclear Safety,https://ror.org/02dy2h219,State Office for Nuclear Safety,,,
TA0,Technologická agentura ČR,Technology Agency of the Czech Republic,https://ror.org/04v0fk911,Technology Agency of the Czech Republic,,,
URV,Úřad vlády České republiky,Office of the Government of the Czech Republic,https://ror.org/027acbb13,Government of the Czech Republic,,,
